北京市十大高精尖产业登记指导目录
（2018年版）

序号	行业大类	行业小类	代码	名称	经营范围表述	注释
一	新一代信息技术（21个）
1	新一代信息技术	移动通信关键设备和宽带光通信传输和接入关键设备	3921	通信系统设备制造	制造移动通信系统设备和宽带光通信传输和接入设备	高污染、高环境风险的生产制造环节除外
2	新一代信息技术	移动通信核心元器件	3983	敏感元件及传感器制造	制造敏感元件；制造传感器	
3	新一代信息技术	移动通信终端产品	3922	通信终端设备制造	制造移动通信终端设备	
4	新一代信息技术	移动通信网络运营服务	6312	移动电信服务	经营电信业务	
5	新一代信息技术	光纤宽带网运营服务	6410	互联网接入及相关服务	经营电信业务	
6	新一代信息技术	下一代互联网运营服务	6410	互联网接入及相关服务	经营电信业务	
7	新一代信息技术	新型显示设备及器件	3974	显示器件制造	制造显示器件	高污染、高环境风险的生产制造环节除外
8	新一代信息技术	下一代广播电视网运营服务	6321	有线广播电视传输服务		
9	新一代信息技术	下一代广播电视网运营服务	6322	无线广播电视传输服务		
10	新一代信息技术	卫星遥感及卫星通信运营服务	6339	卫星传输服务		
11	新一代信息技术	网络与信息安全软件	6519	其他软件开发	信息安全软件开发	
12	新一代信息技术	网络与信息安全服务	6560	信息技术咨询服务	信息技术咨询服务	
13	新一代信息技术	网络与信息安全服务	6531	信息系统集成服务	信息系统集成服务	
14	新一代信息技术	数据处理和存储服务	6450	互联网数据服务	互联网数据服务	（互联网数据服务中的数据中心只允许建设PUE值在1.4以下的云计算数据中心，且仅限在城六区和城市副中心外）
15	新一代信息技术	大数据应用与服务	6450	互联网数据服务	大数据资源服务；互联网数据服务	
16	新一代信息技术	云计算服务	6450	互联网数据服务	云计算服务	
17	新一代信息技术	云计算软件	6519	软件开发	云计算软件开发	
18	新一代信息技术	物联网技术和应用服务	6532	物联网技术服务	物联网技术服务	
19	新一代信息技术	高端终端产品	3911	计算机整机制造	制造计算机整机	高污染、高环境风险的生产制造环节除外
20	新一代信息技术	超高清设备研发生产	3931	广播电视节目制作及发射设备制造	4K及以上超高清拍摄、编辑制作、编解码、传输和显示等设备的研发和生产	
21	新一代信息技术	超高清设备研发生产	3939	应用电视设备及其他广播电视设备制造		
二	集成电路（6个）
1	集成电路	集成电路芯片设计	6520	集成电路设计	集成电路设计	
2	集成电路	集成电路制造与封装	3973	集成电路制造	制造8英寸及以上硅基集成电路圆片；制造6英寸及以上化合物半导体集成电路圆片；封装集成电路芯片	高污染、高环境风险的生产制造环节除外
3	集成电路	集成电路材料	3985	电子专用材料制造	制造6英寸及以上电子半导体材料	
4	集成电路	集成电路设备	3562	半导体器件专用设备制造	制造6英寸及以上集成电路生产设备	
5	集成电路	集成电路设计平台及配套IP库开发	7519	其他技术推广服务	芯片设计平台及配套IP库技术开发、技术服务	
6	集成电路	电子专用材料	3985	电子专用材料制造	制造电子专用材料	高污染、高环境风险的生产制造环节除外
三	医药健康（16个）
1	医药健康	生物制品制造	2761	生物药品制造	制造其他生物制品	
2	医药健康	基因工程药物和疫苗制造	2762	基因工程药物和疫苗制造	制造基因工程药物和疫苗	
